po_id,supplier_id,material_category,order_date,promised_date,delivery_date,ordered_quantity,received_quantity,rejected_quantity,contract_price,actual_unit_price,is_contract
PO00329,SUP006,MCU控制芯片,2025-01-01,2025-02-03,2025-02-11,3000,2854,105,32.85,32.42,1
PO00409,SUP007,功率半导体,2025-01-01,2025-01-29,2025-01-27,5800,5633,62,25.7,25.41,1
PO00470,SUP008,功率半导体,2025-01-01,2025-02-07,2025-02-05,9100,8629,356,25.95,26.19,1
PO00636,SUP011,功率半导体,2025-01-01,2025-02-03,2025-01-31,9900,9175,118,25.67,25.89,1
PO00784,SUP014,模拟芯片,2025-01-01,2025-02-04,2025-02-01,10000,9908,85,19.84,20.15,1
PO01078,SUP018,模拟芯片,2025-01-01,2025-02-03,2025-01-31,9500,9225,86,19.23,19.16,1
PO01136,SUP019,传感器芯片,2025-01-01,2025-02-13,2025-02-13,14500,14306,112,27.56,27.34,1
PO00052,SUP001,MCU控制芯片,2025-01-02,2025-02-02,2025-02-17,13400,12540,752,40.43,45.58,1
PO01007,SUP017,模拟芯片,2025-01-02,2025-01-25,2025-01-25,7500,7377,56,15.65,16.02,1
PO01658,SUP028,存储芯片,2025-01-02,2025-02-02,2025-02-02,5000,4978,46,42.79,41.27,1
PO00025,SUP001,MCU控制芯片,2025-01-03,2025-02-07,2025-02-05,8800,8551,465,40.43,38.04,1
PO00255,SUP005,MCU控制芯片,2025-01-03,2025-01-27,2025-01-26,8500,8318,118,34.47,36.3,1
PO00913,SUP016,模拟芯片,2025-01-03,2025-02-17,2025-02-17,14800,14567,116,16.57,16.56,1
PO01107,SUP019,传感器芯片,2025-01-03,2025-02-14,2025-02-13,4000,3960,31,27.56,28.11,1
PO01272,SUP022,传感器芯片,2025-01-03,2025-01-24,2025-01-21,7500,7278,61,30.23,30.12,1
PO01422,SUP024,传感器芯片,2025-01-03,2025-01-29,2025-01-29,14000,12762,734,24.89,26.75,1
PO01671,SUP028,存储芯片,2025-01-03,2025-02-01,2025-02-01,3500,3436,17,42.79,41.51,1
PO00250,SUP005,MCU控制芯片,2025-01-04,2025-02-01,2025-02-05,7000,6844,111,34.47,35.48,1
PO00399,SUP007,功率半导体,2025-01-04,2025-01-29,2025-01-29,9400,9302,82,25.7,26.89,0
PO00937,SUP016,模拟芯片,2025-01-04,2025-02-19,2025-02-18,8400,8248,61,16.57,16.83,1
PO01275,SUP022,传感器芯片,2025-01-04,2025-01-23,2025-01-22,4000,3976,27,30.23,29.92,1
