supplier_id,supplier_name,material_category,region,risk_profile,total_orders,total_purchase_amount,on_time_rate,late_rate,avg_delay_days,fill_rate,rejection_rate,average_unit_price,average_price_deviation_rate,price_volatility,off_contract_rate,total_ordered_quantity,total_received_quantity,total_rejected_quantity,contract_price,annual_capacity,moq,mpq
SUP001,模拟供应商01,MCU控制芯片,华南,综合风险型,60,21303500.0,0.5833,0.4167,5.2833,0.9419,0.0548,41.4645,0.0256,0.1118,0.3167,516600,486560,26668,40.43,270000,1200,200
SUP002,模拟供应商02,MCU控制芯片,海外,稳定型,60,17639727.0,0.95,0.05,0.0833,0.9846,0.0077,34.8233,0.0004,0.0199,0.0333,507000,499198,3850,34.81,280000,600,100
SUP003,模拟供应商03,MCU控制芯片,华南,稳定型,60,15762455.0,0.9667,0.0333,0.0833,0.9829,0.0079,32.8273,-0.0025,0.0171,0.0167,479500,471319,3740,32.91,600000,3000,500
SUP004,模拟供应商04,MCU控制芯片,西南,价格风险型,60,16334972.0,0.85,0.15,0.6333,0.9764,0.0148,33.2522,0.0254,0.0947,0.3667,491800,480190,7116,32.43,580000,400,200
SUP005,模拟供应商05,MCU控制芯片,海外,价格风险型,60,18846600.0,0.8167,0.1833,0.9,0.9765,0.0148,36.0168,0.0449,0.0865,0.2667,523000,510716,7540,34.47,680000,2000,500
SUP006,模拟供应商06,MCU控制芯片,华东,质量风险型,60,16128725.0,0.8333,0.1667,0.7333,0.971,0.04,33.0577,0.0063,0.0319,0.05,487900,473740,18944,32.85,450000,400,100
SUP007,模拟供应商07,功率半导体,海外,稳定型,60,12296618.0,0.9667,0.0333,0.1667,0.9851,0.0082,25.7823,0.0032,0.0145,0.0333,477400,470291,3876,25.7,350000,400,200
SUP008,模拟供应商08,功率半导体,华南,质量风险型,60,13344916.0,0.8333,0.1667,0.7167,0.974,0.0394,26.0503,0.0039,0.0214,0.0167,512300,498972,19684,25.95,290000,600,100
SUP009,模拟供应商09,功率半导体,海外,价格风险型,60,11959245.0,0.8,0.2,0.85,0.9749,0.015,23.6955,0.0096,0.0867,0.2833,508500,495755,7460,23.47,610000,2000,500
SUP010,模拟供应商10,功率半导体,华东,稳定型,60,11255018.0,0.8,0.2,0.75,0.9837,0.0082,21.6155,0.0049,0.0176,0.0333,520300,511827,4182,21.51,620000,600,100
