supplier_id,supplier_name,material_category,region,risk_profile,total_orders,total_purchase_amount,on_time_rate,late_rate,avg_delay_days,fill_rate,rejection_rate,average_unit_price,average_price_deviation_rate,price_volatility,off_contract_rate,total_ordered_quantity,total_received_quantity,total_rejected_quantity,contract_price,annual_capacity,moq,mpq,shortage_rate,delivery_risk_points,quality_risk_points,fulfillment_risk_points,price_risk_points,compliance_risk_points,risk_score,risk_level,risk_rank
SUP024,模拟供应商24,传感器芯片,海外,综合风险型,60,13094690.0,0.5167,0.4833,6.4,0.9356,0.0552,24.9162,0.0011,0.1165,0.25,521000,487440,26907,24.89,400000,1000,500,0.0644,30.0,25.0,15.0,15.0,10.2263,95.2263,高风险,1
SUP027,模拟供应商27,存储芯片,华东,综合风险型,60,25559444.0,0.5167,0.4833,5.6333,0.9425,0.0547,52.998,0.0261,0.0984,0.35,483900,456081,24970,51.65,290000,200,100,0.0575,30.0,24.7368,12.9785,12.3382,14.3169,94.3705,高风险,2
SUP001,模拟供应商01,MCU控制芯片,华南,综合风险型,60,21303500.0,0.5833,0.4167,5.2833,0.9419,0.0548,41.4645,0.0256,0.1118,0.3167,516600,486560,26668,40.43,270000,1200,200,0.0581,25.718,24.7895,13.1543,14.3088,12.9547,90.9253,高风险,3
SUP004,模拟供应商04,MCU控制芯片,西南,价格风险型,60,16334972.0,0.85,0.15,0.6333,0.9764,0.0148,33.2522,0.0254,0.0947,0.3667,491800,480190,7116,32.43,580000,400,200,0.0236,8.5705,3.7368,3.0469,11.7941,15.0,42.1483,中风险,4
SUP009,模拟供应商09,功率半导体,海外,价格风险型,60,11959245.0,0.8,0.2,0.85,0.9749,0.015,23.6955,0.0096,0.0867,0.2833,508500,495755,7460,23.47,610000,2000,500,0.0251,11.7853,3.8421,3.4863,10.6176,11.5885,41.3198,中风险,5
SUP005,模拟供应商05,MCU控制芯片,海外,价格风险型,60,18846600.0,0.8167,0.1833,0.9,0.9765,0.0148,36.0168,0.0449,0.0865,0.2667,523000,510716,7540,34.47,680000,2000,500,0.0235,10.7115,3.7368,3.0176,10.5882,10.9095,38.9636,中风险,6
SUP011,模拟供应商11,功率半导体,华北,交付风险型,60,13283519.0,0.6167,0.3833,3.45,0.9575,0.0121,25.8497,0.007,0.0258,0.05,512900,491078,5962,25.67,600000,600,100,0.0425,23.5705,2.3158,8.584,1.6618,2.0453,38.1773,中风险,7
SUP015,模拟供应商15,模拟芯片,西南,交付风险型,60,9081546.0,0.6667,0.3333,3.0833,0.9564,0.012,17.1715,0.0036,0.0323,0.0667,528200,505153,6087,17.11,500000,400,200,0.0436,20.3558,2.2632,8.9062,2.6176,2.7284,36.8712,中风险,8
SUP006,模拟供应商06,MCU控制芯片,华东,质量风险型,60,16128725.0,0.8333,0.1667,0.7333,0.971,0.04,33.0577,0.0063,0.0319,0.05,487900,473740,18944,32.85,450000,400,100,0.029,9.6442,17.0,4.6289,2.5588,2.0453,35.8772,中风险,9
SUP020,模拟供应商20,传感器芯片,华东,质量风险型,60,12975257.0,0.8,0.2,0.85,0.9729,0.0402,23.9372,-0.003,0.0248,0.0333,542500,527808,21216,24.01,290000,200,100,0.0271,11.7853,17.1053,4.0723,1.5147,1.3621,35.8396,中风险,10
SUP012,模拟供应商12,功率半导体,华北,交付风险型,60,12467793.0,0.6833,0.3167,2.9167,0.9619,0.0119,24.189,0.0066,0.0304,0.0833,514500,494889,5884,24.03,470000,600,100,0.0381,19.2885,2.2105,7.2949,2.3382,3.4074,34.5396,中风险,11
SUP008,模拟供应商08,功率半导体,华南,质量风险型,60,13344916.0,0.8333,0.1667,0.7167,0.974,0.0394,26.0503,0.0039,0.0214,0.0167,512300,498972,19684,25.95,290000,600,100,0.026,9.6442,16.6842,3.75,1.0147,0.6831,31.7763,中风险,12
SUP017,模拟供应商17,模拟芯片,海外,稳定型,60,8147585.0,0.8167,0.1833,0.6,0.9832,0.008,15.6547,0.0003,0.0209,0.05,521000,512255,4079,15.65,350000,1000,500,0.0168,10.7115,0.1579,1.0547,0.9412,2.0453,14.9106,低风险,13
SUP010,模拟供应商10,功率半导体,华东,稳定型,60,11255018.0,0.8,0.2,0.75,0.9837,0.0082,21.6155,0.0049,0.0176,0.0333,520300,511827,4182,21.51,620000,600,100,0.0163,11.7853,0.2632,0.9082,0.4559,1.3621,14.7746,低风险,14
SUP018,模拟供应商18,模拟芯片,华北,稳定型,60,9981855.0,0.9167,0.0833,0.1833,0.983,0.008,19.3112,0.0042,0.0223,0.05,518000,509171,4093,19.23,300000,1000,500,0.017,4.282,0.1579,1.1133,1.1471,2.0453,8.7455,低风险,15
SUP013,模拟供应商13,模拟芯片,西南,稳定型,60,9125594.0,0.9,0.1,0.4,0.983,0.0083,19.317,0.0024,0.0203,0.0167,473000,464967,3873,19.27,300000,200,100,0.017,5.3558,0.3158,1.1133,0.8529,0.6831,8.3209,低风险,16
SUP016,模拟供应商16,模拟芯片,华北,稳定型,60,8101168.0,0.9,0.1,0.3167,0.9842,0.0079,16.6167,0.0028,0.0204,0.0167,488200,480473,3816,16.57,370000,800,200,0.0158,5.3558,0.1053,0.7617,0.8676,0.6831,7.7735,低风险,17
SUP026,模拟供应商26,存储芯片,华北,稳定型,60,27120329.0,0.9333,0.0667,0.1,0.984,0.0077,49.1485,0.0051,0.0251,0.05,551900,543054,4174,48.9,600000,600,100,0.016,3.2147,0.0,0.8203,1.5588,2.0453,7.6391,低风险,18
SUP023,模拟供应商23,传感器芯片,西南,稳定型,60,16571010.0,0.9333,0.0667,0.2167,0.9839,0.0078,29.6825,0.0021,0.0196,0.0333,559000,550001,4297,29.62,380000,400,200,0.0161,3.2147,0.0526,0.8496,0.75,1.3621,6.2291,低风险,19
